Member_number,Date,item_Description
4594,2023-11-17,Milk
5991,2023-05-09,Cheese
2669,2023-11-11,Eggs
9310,2023-08-09,Eggs
4060,2023-05-25,Fish
4334,2023-07-09,Milk
5555,2023-08-20,Apples
9356,2023-03-30,Chicken
9982,2023-08-16,Fish
3841,2023-01-26,Bananas
2730,2023-07-20,Eggs
3888,2023-11-19,Cheese
7633,2023-01-31,Milk
9194,2023-01-18,Chicken
5046,2023-03-21,Milk
3937,2023-11-02,Cereal
5885,2023-08-14,Fish
6096,2023-08-26,Fish
3360,2023-12-24,Eggs
4512,2023-04-25,Milk
8717,2023-03-29,Cereal
8812,2023-12-07,Eggs
6179,2023-09-02,Bread
1104,2023-05-01,Eggs
6443,2023-04-29,Fish
8905,2023-12-22,Butter
9727,2023-02-04,Apples
4938,2023-12-18,Apples
9387,2023-07-03,Bananas
8364,2023-04-30,Chicken
5338,2023-04-19,Eggs
8783,2023-09-04,Bread
8337,2023-02-07,Bread
9299,2023-12-11,Fish
3158,2023-06-14,Apples
9141,2023-04-27,Eggs
9221,2023-10-25,Eggs
8636,2023-09-24,Butter
3779,2023-09-14,Chicken
9706,2023-12-19,Butter
3250,2023-01-08,Butter
9249,2023-03-19,Chicken
1773,2024-01-01,Butter
3457,2023-01-03,Butter
9133,2023-06-17,Cheese
4359,2023-10-20,Cereal
1144,2023-01-15,Butter
1509,2023-03-20,Apples
2185,2023-12-11,Butter
9937,2023-10-11,Chicken
1828,2023-04-09,Apples
7074,2023-04-12,Eggs
5940,2023-07-07,Fish
7818,2023-06-19,Milk
1516,2023-08-25,Cereal
7416,2023-06-17,Fish
5221,2023-06-03,Fish
8538,2023-03-11,Apples
1834,2023-06-09,Chicken
9261,2023-01-11,Butter
2243,2023-06-10,Bread
9907,2023-05-26,Bananas
6874,2023-08-20,Bread
8290,2023-08-07,Butter
9768,2023-05-31,Bread
7749,2023-07-16,Bread
3756,2023-07-10,Cheese
3731,2023-01-26,Bread
5321,2023-12-11,Bread
2791,2023-10-23,Bananas
1858,2023-06-29,Chicken
9095,2023-04-15,Eggs
2445,2023-05-05,Apples
8581,2023-08-01,Apples
7010,2023-10-10,Eggs
7875,2023-04-18,Apples
9872,2023-08-23,Milk
3591,2023-08-01,Milk
5236,2023-03-05,Cheese
4392,2023-08-06,Apples
8277,2023-02-14,Eggs
1782,2023-08-14,Butter
9789,2023-06-14,Eggs
3496,2023-10-06,Fish
9720,2023-05-01,Milk
1561,2023-02-28,Fish
4556,2023-05-16,Apples
5101,2024-01-01,Fish
1889,2023-04-20,Cheese
4572,2023-11-11,Chicken
9967,2023-02-13,Bananas
1449,2023-06-04,Butter
3710,2023-02-21,Apples
3885,2023-10-03,Apples
8749,2023-08-28,Apples
1455,2023-08-11,Butter
7158,2023-11-14,Cheese
4301,2023-09-18,Cheese
4708,2023-09-28,Bread
5898,2023-09-22,Apples
